['命中注定'],['张皓'],"['汤唯', '廖凡', '苏岩', '刘韬']","['喜剧,爱情']","['2015', '07', '24']",['6793万']
['启功'],"['丁荫楠', '丁震']","['马恩然', '孔祥玉', '王馥荔']","['传记,剧情']","['2015', '09', '10']",['40万']
['擦枪走火'],['周伟'],"['喻恩泰', '倪虹洁', '王景春', '赵文琪']","['喜剧,爱情']","['2015', '12', '11']",['552万']
['我要上迷笛'],[],[],['纪录片'],['2015'],[]
['大冰的小屋'],[],[],"['纪录片,短片,音乐']","['2015', '06', '03']",[]
['长夜将尽'],[],[],"['剧情,爱情,短片,奇幻']","['2015', '02', '13']",[]
['白雪公主之神秘爸爸'],['赵奔'],"['阎萌萌', '曹旭鹏', '高明钰', '赵奔']","['喜剧,动画,冒险']","['2015', '08', '14']",['1123万']
['莫日根'],"['王鹏程', '克里斯多夫·莫利斯']","['张丽', '刘娟', '万梦琪']","['动画,家庭,冒险']","['2015', '10', '17']",['1万']
['二龙湖浩哥之狂暴之路'],"['王岩川', '张浩']","['张赢', '张涛', '许君聪']","['喜剧,动作']","['2015', '08', '21']",[]
['奥拉星：进击圣殿'],"['钟智行', '赵路']","['张安琪', '张琦', '李正翔']","['动画,冒险,奇幻']","['2015', '07', '23']",['848万']
['使命召唤'],['皮埃尔·莫瑞尔'],"['西恩·潘', '伊德瑞斯·艾尔巴', '哈维尔·巴登', '雷·温斯顿']","['剧情,动作,犯罪']","['2015', '09', '18']",['1066万美元']
['三城记'],['张婉婷'],"['刘青云', '汤唯', '井柏然', '秦海璐']","['爱情,剧情']","['2015', '08', '27']",['1224万']
['闯入者'],['王小帅'],"['吕中', '冯远征', '秦海璐', '秦昊']","['剧情,惊悚,犯罪']","['2015', '04', '30']",['1004万']
['时间都去哪了'],['车径行'],"['杨紫', '郭品超', '焦恩俊', '高雅轩']","['剧情,爱情']","['2015', '08', '07']",['23万']
